index,dim1,dim2,cluster
0,-33.3676,-27.6014,4
1,-41.4831,-36.9913,6
2,-41.3231,3.80354,4
3,-40.0546,-9.7545,6
4,-36.1465,-19.7038,6
5,-40.2145,5.93503,4
6,-32.5942,-11.2823,6
7,-42.5838,2.64738,4
8,-32.4656,-27.5956,6
9,-42.5403,1.5585,4
10,-39.3733,-24.1194,6
11,-39.5208,8.19863,4
12,-41.3493,-19.9228,6
13,-43.0445,3.85309,4
14,-36.059,-19.4373,6
15,-40.9251,-5.38414,4
16,60.4572,10.2274,1
17,75.2116,12.1144,1
18,44.156,28.9585,1
19,71.769,3.31227,1
20,44.2536,22.1656,1
21,67.3078,15.0804,1
22,63.4042,16.6167,1
23,78.6775,14.3656,1
24,57.5723,11.9407,1
25,51.2364,14.7624,1
26,86.1921,14.7293,1
27,86.2465,10.4268,1
28,87.3738,12.1366,1
29,87.9712,13.5847,1
30,94.1732,9.49152,1
31,68.9757,9.12794,1
32,77.8131,10.9461,1
33,84.7025,12.7713,1
34,75.7119,10.394,1
35,77.4062,12.863,1
36,75.0429,4.94858,1
37,75.6845,7.61253,1
38,64.2192,10.9887,1
39,72.507,9.76996,1
40,71.5169,8.31074,1
41,77.8972,7.31264,1
42,58.6395,9.32613,1
43,65.2141,11.075,1
44,70.035,15.222,1
45,73.7758,14.1576,1
46,81.0525,13.0178,5
47,78.7235,14.7709,5
48,92.5841,10.5134,5
49,94.2847,11.3319,5
50,83.9091,12.136,5
51,85.5588,13.2064,5
52,92.6644,10.1977,5
53,81.2806,12.1522,5
54,90.0568,11.6949,5
55,81.5793,17.8233,5
56,86.9049,13.2816,5
57,89.4471,9.39744,5
58,83.175,11.5131,5
59,92.1435,13.0533,5
60,91.4561,11.4627,5
61,88.887,11.0139,5
62,90.2331,12.5399,5
63,96.7449,9.67458,5
64,86.6262,14.2762,5
65,91.998,12.0965,5
66,79.4161,15.1517,5
67,83.1143,11.726,5
68,80.2762,15.9419,5
69,93.332,10.5174,5
70,85.7187,14.5373,5
71,90.6667,12.3477,5
72,87.6327,11.7045,5
73,-33.3144,-8.30614,4
74,-34.2825,-37.4002,6
75,-32.7142,-36.3134,6
76,-31.7893,-5.39834,4
77,-31.3691,-32.592,6
78,-33.7491,-34.7096,6
79,-28.3812,-35.4443,6
80,-41.4329,-24.0368,6
81,-33.6628,1.33631,4
82,-26.6078,-34.2478,6
83,-26.6317,-37.9276,6
84,-40.8345,-27.5139,6
85,-40.5142,-24.7289,6
86,-46.9077,-46.0554,3
87,-40.2315,-47.0084,3
88,-40.1051,-50.3255,3
89,-40.7826,-40.2682,3
90,-43.4061,-49.7168,3
91,-37.0859,-40.5291,3
92,-36.76,-49.5196,3
93,-34.4847,-46.8393,3
94,-31.432,-40.0905,3
95,-35.3595,-51.9378,3
96,-40.6467,-48.9752,3
97,-39.0579,-44.7518,3
98,-35.2837,-48.9529,3
99,-34.8424,-32.4052,3
100,-37.3165,-36.241,3
